id,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
66,3200502,1,14,2,5,10/12/2014 15:02,10/12/2014 15:05,3.25,1.0476,19.34,28.6,3,1,3,1,3,12.345826,69.03,1,0,0,0,0,OTHER,OTHER
67,3200502,1,15,2,6,10/12/2014 16:14,10/12/2014 16:42,27.48,8.6841,18.96,49.1,3,1,3,1,3,12.412892,20.87,1,0,0,0,0,OTHER,HOME
68,3200502,1,16,2,7,10/12/2014 17:03,10/12/2014 17:35,32.07,1.6722,3.13,4.3,1,1,1,1,1,74.515506,738.22,1,0,1,0,1,HOME,HOME
69,3200502,1,17,3,1,11/12/2014 05:53,11/12/2014 05:58,4.83,1.6381,20.34,42.3,3,1,3,1,3,26.535857,9,1,0,0,0,0,HOME,OTHER
70,3200502,1,18,3,2,11/12/2014 06:07,11/12/2014 06:25,18.25,7.5987,24.98,51.6,3,2,"3,1",2,"1,3",22.041375,270.58,1,0,0,0,0,OTHER,OTHER
71,3200502,1,19,3,3,11/12/2014 10:55,11/12/2014 11:32,36.03,12.8965,21.47,62.8,3,2,"1,3",2,"1,3",84.245123,5.08,1,0,0,0,0,OTHER,OTHER
72,3200502,1,20,3,4,11/12/2014 11:37,11/12/2014 12:05,28.33,12.3934,26.24,71.5,3,2,"3,1",2,"1,3",27.538631,169.9,1,0,0,0,0,OTHER,WORK
73,3200502,1,21,3,5,11/12/2014 14:55,11/12/2014 15:00,5.23,0.9705,11.13,26.1,3,2,"1,3",2,"1,3",201.290727,57.88,1,0,0,0,0,WORK,OTHER
74,3200502,1,22,3,6,11/12/2014 15:58,11/12/2014 16:25,27.03,8.669,19.24,51,3,1,3,1,3,26.157548,0,1,0,0,0,0,OTHER,HOME
75,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
76,3201299,1,1,1,1,24/11/2014 05:34,24/11/2014 06:26,52.1,52.3332,60.27,80.8,3,1,3,1,3,,1.63,1,0,0,0,0,OTHER,OTHER
77,3201299,1,2,1,2,24/11/2014 06:27,24/11/2014 06:45,17.45,13.8192,47.52,65.9,4,1,4,1,4,17.015385,616.68,1,0,0,0,0,OTHER,OTHER
78,3201299,1,3,1,3,24/11/2014 17:01,24/11/2014 17:18,16.87,13.253,47.15,62.1,4,1,4,1,4,2882.858348,2.5,1,0,0,0,0,OTHER,OTHER
79,3201299,1,4,1,4,24/11/2014 17:21,24/11/2014 18:12,50.75,52.6521,62.25,82,3,1,3,1,3,121.063354,0.6,1,0,0,0,0,OTHER,OTHER
80,3201299,1,5,1,5,24/11/2014 18:12,24/11/2014 18:23,10.95,6.4742,35.47,67.7,3,1,3,1,3,26.973836,0.98,1,0,0,0,0,OTHER,HOME
81,3201299,1,6,1,6,24/11/2014 18:24,24/11/2014 18:26,1.83,0.0717,2.35,3.1,1,1,1,1,1,35.576411,651.72,1,0,1,0,1,HOME,HOME
